response,rt,subj_idx,stimulus_index
1,0.7,1057,2
1,0.0333333333333333,1063,2
0,0.666666666666667,1090,2
0,2.73333333333333,4,3
0,0.133333333333333,6,3
0,0.566666666666667,6,3
0,0.0333333333333333,6,3
0,0.233333333333333,6,3
0,0.433333333333333,6,3
0,0.533333333333333,6,3
0,1.06666666666667,6,3
0,0.6,41,3
1,0.0333333333333333,45,3
0,0.3,65,3
0,1.06666666666667,65,3
0,1.76666666666667,108,3
0,2.5,111,3
0,1.43333333333333,112,3
1,0.0333333333333333,116,3
1,2.43333333333333,122,3
1,0.0333333333333333,123,3
1,0.9,135,3
1,0.366666666666667,135,3
1,0.0333333333333333,172,3
0,1.26666666666667,191,3
0,2.83333333333333,195,3
1,0.0666666666666667,203,3
0,0.4,211,3
0,0.5,233,3
0,0.733333333333333,236,3
0,1.73333333333333,238,3
0,1.83333333333333,251,3
0,2.2,306,3
0,0.566666666666667,332,3
0,1.1,353,3
0,2.73333333333333,353,3
0,1.3,355,3
1,0.0333333333333333,356,3
1,0.0333333333333333,356,3
0,0.466666666666667,362,3
0,1.16666666666667,365,3
0,2.2,366,3
0,0.766666666666667,370,3
0,1.33333333333333,370,3
0,0.833333333333333,382,3
1,0.0333333333333333,388,3
0,1.56666666666667,392,3
0,0.6,394,3
1,0.0333333333333333,399,3
0,0.7,408,3
1,2.43333333333333,410,3
1,1.3,415,3
0,2.26666666666667,421,3
1,0.0333333333333333,427,3
0,0.333333333333333,429,3
0,0.0333333333333333,431,3
0,0.3,432,3
0,0.933333333333333,455,3
0,0.4,455,3
0,0.666666666666667,468,3
0,0.9,468,3
0,0.766666666666667,481,3
0,1.16666666666667,481,3
1,1.1,483,3
0,2.23333333333333,516,3
0,1.06666666666667,522,3
1,1.8,523,3
0,0.1,530,3
0,0.1,531,3
0,0.2,532,3
1,0.0333333333333333,542,3
1,0.0333333333333333,554,3
0,2.93333333333333,561,3
1,0.0666666666666667,563,3
0,0.0333333333333333,563,3
0,1.46666666666667,577,3
0,1.1,588,3
1,0.7,591,3
0,0.333333333333333,620,3
0,2.2,650,3
1,0.0333333333333333,654,3
0,1.56666666666667,663,3
0,1.1,716,3
0,1.06666666666667,762,3
0,0.3,767,3
0,1.66666666666667,767,3
